Topic,Count,Name,Representation,Representative_Docs
-1,1164,-1_cannot_received_unreliable_tried,"['cannot', 'received', 'unreliable', 'tried', 'broke', 'delivered', 'reset', 'requesting', 'log', 'login']","['The screen broke on the first use. Clearly a manufacturing defect.', 'The screen broke on the first use. Clearly a manufacturing defect.', 'The screen broke on the first use. Clearly a manufacturing defect.']"
0,230,0_charged_refund_service_ok,"['charged', 'refund', 'service', 'ok', '401', '365', 'for', 'been', 'days', 'waiting']","['I have been waiting 4 days for my refund of $21. Where is my money?', 'I have been waiting 4 days for my refund of $30. Where is my money?', 'I have been waiting 3 days for my refund of $100. Where is my money?']"
1,197,1_charged_fix_subscription_176751,"['charged', 'fix', 'subscription', '176751', 'for', '365770', 'twice', '302015', '312922', '406600']","['I was charged twice for my subscription this month. Order #596317. Please fix this immediately.', 'I was charged twice for my subscription this month. Order #970389. Please fix this immediately.', 'I was charged twice for my subscription this month. Order #970389. Please fix this immediately.']"
2,194,2_invoice_hi_253_344,"['invoice', 'hi', '253', '344', '109', '168', 'unacceptable', '24', 'my', 'it']","['My invoice shows $55 but I was told it would be $15. This is unacceptable.', 'My invoice shows $481 but I was told it would be $5. This is unacceptable.', 'My invoice shows $20 but I was told it would be $12. This is unacceptable.']"
3,178,3_account_log_reset_cannot,"['account', 'log', 'reset', 'cannot', 'codes', 'phone', 'sending', 'still', 'in', 'my']","['Two-factor auth is not sending codes to my phone. I am completely locked out.', 'Two-factor auth is not sending codes to my phone. I am completely locked out.', 'Two-factor auth is not sending codes to my phone. I am completely locked out.']"
4,177,4_order_arrived_355503_335576,"['order', 'arrived', '355503', '335576', '214938', '105256', 'updates', '341661', '352806', '381351']","['My order #717001 has not arrived and it has been 2 days. Tracking shows no updates.', 'My order #314749 has not arrived and it has been 3 days. Tracking shows no updates.', 'My order #747255 has not arrived and it has been 8 days. Tracking shows no updates.']"
5,154,5_ez54840042_ba53061139_cj36616201_mp48389665,"['ez54840042', 'ba53061139', 'cj36616201', 'mp48389665', 'mm08164877', 'ip93198071', 'll65416893', 'ko72148688', 'bp17773926', 'bs48531599']","['The tracking number YM27499391 does not work. No idea where my package is.', 'The tracking number XX22583376 does not work. No idea where my package is.', 'The tracking number wU75091783 does not work. No idea where my package is.']"
6,142,6_um_weeks_after_,"['um', 'weeks', 'after', '', '', '', '', '', '', '']","['THE PAINT IS ALREADY CHIPPING OFF AFTER 6 WEEKS. WHAT KIND OF QUALITY CONTROL IS THIS?', 'The paint is already chipping off after 2 weeks. What kind of quality control is this?', 'The paint is already chipping off after 4 weeks. What kind of quality control is this?']"
7,141,7_hey_unusable_hours_,"['hey', 'unusable', 'hours', '', '', '', '', '', '', '']","['Battery drains from 100 to 0 in 5 hours. Completely unusable.', 'Battery drains from 100 to 0 in 4 hours. Completely unusable.', 'Battery drains from 100 to 0 in 6 hours. Completely unusable.']"
8,110,8_charge_unauthorized_account_312,"['charge', 'unauthorized', 'account', '312', '321', '295', '324', '415', '264', '290']","['I noticed an unauthorized charge of $248 on my account. I did NOT approve this.', 'I noticed an unauthorized charge of $11 on my account. I did NOT approve this.', 'I noticed an unauthorized charge of $10 on my account. I did NOT approve this.']"
